RA,ENTRADA
1811562565,T2018.1
1811562586,T2018.1
1811562591,T2018.1
1811562595,T2018.1
1811562596,T2018.1
1811562597,T2018.1
1811562609,T2018.1
1811562610,T2018.1
1811562612,T2018.1
1811562614,T2018.1
1811562615,T2018.1
1811562617,T2018.1
1811562619,T2018.1
1811562620,T2018.1
1811562621,T2018.1
1811562624,T2018.1
1811562630,T2018.1
1811562631,T2018.1
1811562633,T2018.1
1811562634,T2018.1
1811562639,T2018.1
1811562642,T2018.1
1811562643,T2018.1
1811562644,T2018.1
1811562647,T2018.1
1811562648,T2018.1
1811562649,T2018.1
1811562650,T2018.1
1811562654,T2018.1
1811562656,T2018.1
1811562658,T2018.1
1811562659,T2018.1
1811562660,T2018.1
1811562662,T2018.1
1811562665,T2018.1
1811562666,T2018.1
1811562667,T2018.1
1811562669,T2018.1
1811562673,T2018.1
1811562674,T2018.1
1811562676,T2018.1
1811562678,T2018.1
1811562685,T2018.1
1811562686,T2018.1
1811562688,T2018.1
1811562689,T2018.1
1811562757,T2018.1
1811562758,T2018.1
1811562759,T2018.1
1811562761,T2018.1
1811562762,T2018.1
1811562763,T2018.1
1811562764,T2018.1
1811562767,T2018.1
1811562768,T2018.1
1811562775,T2018.1
1811562776,T2018.1
1811562778,T2018.1
1811562779,T2018.1
1811562782,T2018.1
1811562783,T2018.1
1811562784,T2018.1
1811562785,T2018.1
1811562791,T2018.1
1811562794,T2018.1
1811562798,T2018.1
1811562800,T2018.1
1811562826,T2018.1
1811562851,T2018.1
1811562854,T2018.1
1811562903,T2018.1
1811563331,T2018.1
1811563332,T2018.1
1811563342,T2018.1
1811563625,T2018.1
1811563628,T2018.1
1811563668,T2018.1
1811563801,T2018.1
1811563804,T2018.1
1811563822,T2018.1
1811563839,T2018.1
1811563861,T2018.1
1811563868,T2018.1
1811563869,T2018.1
1811563885,T2018.1
1811563915,T2018.1
1811563963,T2018.1
1811563965,T2018.1
1811563969,T2018.1
1811564011,T2018.1
1811564014,T2018.1
1811564015,T2018.1
1811564017,T2018.1
1811564021,T2018.1
1811564023,T2018.1
1811564026,T2018.1
1811564067,T2018.1
1811564267,T2018.1
1811564869,T2018.1
1811565273,T2018.1
1811565282,T2018.1
1811562586,T2018.2
1811562591,T2018.2
1811562595,T2018.2
1811562614,T2018.2
1811562619,T2018.2
1811562624,T2018.2
1811562643,T2018.2
1811562644,T2018.2
1811562648,T2018.2
1811562649,T2018.2
1811562656,T2018.2
1811562666,T2018.2
1811562673,T2018.2
1811562688,T2018.2
1811562757,T2018.2
1811562759,T2018.2
1811562764,T2018.2
1811562775,T2018.2
1811562779,T2018.2
1811562783,T2018.2
1811562784,T2018.2
1811562794,T2018.2
1811562798,T2018.2
1811562800,T2018.2
1811562854,T2018.2
1811562903,T2018.2
1811563625,T2018.2
1811563668,T2018.2
1811563969,T2018.2
1811564021,T2018.2
1811564023,T2018.2
1811564026,T2018.2
1811565273,T2018.2
1821560004,T2018.2
1821560072,T2018.2
1821568463,T2018.2
1821568468,T2018.2
1821568474,T2018.2
1821568494,T2018.2
1821568499,T2018.2
1821568501,T2018.2
1821568508,T2018.2
1821568594,T2018.2
1821568605,T2018.2
1821568621,T2018.2
1821568628,T2018.2
1821568638,T2018.2
1821568658,T2018.2
1821568662,T2018.2
1821568666,T2018.2
1821568669,T2018.2
1821568723,T2018.2
1821568724,T2018.2
1821568727,T2018.2
1821568730,T2018.2
1821568737,T2018.2
1821568742,T2018.2
1821568749,T2018.2
1821568750,T2018.2
1821568766,T2018.2
1821568774,T2018.2
1821568786,T2018.2
1821568801,T2018.2
1821568802,T2018.2
1821568807,T2018.2
1821568809,T2018.2
1821568832,T2018.2
1821568840,T2018.2
1821568842,T2018.2
1821568845,T2018.2
1821568849,T2018.2
1821568857,T2018.2
1821568858,T2018.2
1821569014,T2018.2
1821569016,T2018.2
1821569023,T2018.2
1821569238,T2018.2
1821569939,T2018.2
1821569978,T2018.2
1811562643,T2019.1
1811562648,T2019.1
1811562656,T2019.1
1811562794,T2019.1
1811565273,T2019.1
1821560004,T2019.1
1821568468,T2019.1
1821568474,T2019.1
1821568494,T2019.1
1821568499,T2019.1
1821568501,T2019.1
1821568508,T2019.1
1821568594,T2019.1
1821568605,T2019.1
1821568621,T2019.1
,T2019.1
1821568628,T2019.1
1821568638,T2019.1
1821568658,T2019.1
1821568662,T2019.1
1821568666,T2019.1
1821568669,T2019.1
1821568723,T2019.1
1821568724,T2019.1
1821568727,T2019.1
1821568737,T2019.1
1821568742,T2019.1
1821568749,T2019.1
1821568750,T2019.1
1821568754,T2019.1
1821568766,T2019.1
1821568774,T2019.1
1821568786,T2019.1
1821568801,T2019.1
1821568802,T2019.1
1821568807,T2019.1
1821568832,T2019.1
1821568834,T2019.1
1821568840,T2019.1
1821568842,T2019.1
1821568845,T2019.1
1821568849,T2019.1
1821568858,T2019.1
,T2019.1
1821569014,T2019.1
1821569023,T2019.1
1821569238,T2019.1
1821569939,T2019.1
1821569978,T2019.1
1911561618,T2019.1
1911562192,T2019.1
1911562290,T2019.1
1911562293,T2019.1
1911562305,T2019.1
1911562307,T2019.1
1911562314,T2019.1
1911562316,T2019.1
1911562318,T2019.1
1911562319,T2019.1
1911562321,T2019.1
1911562328,T2019.1
1911562344,T2019.1
1911562351,T2019.1
1911562361,T2019.1
1911562365,T2019.1
1911562368,T2019.1
1911562371,T2019.1
1911562373,T2019.1
1911562375,T2019.1
1911562378,T2019.1
1911562476,T2019.1
1911562480,T2019.1
1911562495,T2019.1
1911562504,T2019.1
1911562509,T2019.1
1911562513,T2019.1
1911562515,T2019.1
1911562517,T2019.1
1911562519,T2019.1
1911562521,T2019.1
1911562525,T2019.1
1911562527,T2019.1
1911562529,T2019.1
1911562533,T2019.1
1911562538,T2019.1
1911562540,T2019.1
1911562548,T2019.1
1911562562,T2019.1
1911562570,T2019.1
1911562582,T2019.1
1911562586,T2019.1
1911562589,T2019.1
1911563012,T2019.1
1911563039,T2019.1
1911563044,T2019.1
1911563055,T2019.1
1911563057,T2019.1
1911563059,T2019.1
1911563066,T2019.1
1911563083,T2019.1
1911563091,T2019.1
1911563095,T2019.1
1911563115,T2019.1
1911563118,T2019.1
1911563121,T2019.1
1911563123,T2019.1
1911563144,T2019.1
1911563168,T2019.1
