,RA,CODTURMA,DISCIPLINA,CURSO_TURMA,CURSO_ALUNO,STATUSRES,P1/AP1,P2/AP2,TRABALHO/AP3,ESPECIAL (SUBSTITUTIVA)/MP,MF,MEDIA FINAL/AS,TFALTAS,Total Geral,PERÍODO,TIPO,ENTRADA_x,SEM,SEM_R,SEM_D,SEMESTRE,ENTRADA_y
0,1811562565,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,0,3.6,6,3.1,3.1,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
1,1811562586,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,4.9,4.5,8,5.7,5.7,3.4,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
2,1811562591,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,6,3.7,7,5.5,5.6,4.1,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
3,1811562595,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,5.9,3.2,5,4.7,5.3,5,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
4,1811562596,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,8.3,6.4,7.5,7.4,7.4,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
5,1811562597,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,4.6,4,7,5.1,5.1,2.6,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
6,1811562609,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,5.7,6.7,7.5,6.6,7,6.8,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
7,1811562610,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,4.6,2,6,4.1,4.1,1.6,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
8,1811562612,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,6.1,3.3,9,6,7.6,7.8,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
9,1811562614,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,5.2,4.3,8,5.7,5.7,2.9,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
10,1811562615,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,7.2,3.5,7,5.8,7,6.8,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
11,1811562617,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,2.6,1.9,6,3.4,3.9,3.5,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
12,1811562619,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,1,2.7,6,3.1,3.1,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
13,1811562620,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,7.8,1.7,5.5,5,5.6,3.4,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
14,1811562621,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,1.2,5,9,4.9,6.1,4.8,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
15,1811562624,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,6.6,3.8,5,5.1,6,6.1,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
16,1811562630,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,7.5,6.5,7,7,7,0,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
17,1811562631,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,6.2,6.1,7.5,6.6,7,7.5,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
18,1811562633,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,8.2,7,6,7.1,7.1,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
19,1811562634,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,7.8,2,7.5,5.7,7,5.8,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
20,1811562639,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,8,9,7,8,8,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
21,1811562642,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,5.9,2.7,5.5,4.7,4.7,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
22,1811562643,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,0,2.2,5,2.3,2.3,0,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
23,1811562644,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,4.9,4.7,5.5,5,5,3.6,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
24,1811562647,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,3.2,1.9,4,3,3,0.2,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
25,1811562648,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,1,2.8,6,3.1,3.1,0,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
26,1811562649,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,5.3,4.4,5,4.9,4.9,2.2,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
27,1811562650,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,7.7,8.1,5,7,7,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
28,1811562654,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,5.6,3.8,7,5.4,5.4,1.4,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
29,1811562656,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,0,0,0,0,0,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
30,1811562658,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8.7,3.4,7,6.3,7.6,6.9,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
31,1811562659,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,2,3,6,3.6,3.6,0.8,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
32,1811562660,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8.9,6.3,6,7.1,7.1,6.3,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
33,1811562662,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8.8,5.8,5.5,6.8,7,6.4,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
34,1811562665,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,6.5,5.7,8,6.7,7,6.5,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
35,1811562666,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,2.4,3.3,5.5,3.6,3.8,2.9,2,,2018.1,MT,2018.1,0,0,0,1,2018.1
36,1811562667,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,0,1.7,4,1.8,1.8,0,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
37,1811562669,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,6.8,3.6,6,5.4,7,8,0,,2018.1,MT,2018.1,0,0,0,1,2018.1
